id,type_of_care,provider_id,location_id,capacity,region,town,postcode,target_capacity,incident_rate_target,name,slug,organisation_id,organisation,base_url,created_at,updated_at,combined_id,PoolName,SchemaName
69,NULL,NULL,NULL,NULL,NULL,Bristol BS13 8ES,BS13 8ES,NULL,NULL,Bishopsmead Lodge,bishopsmead-lodge,2,Four Seasons,https://fourseasons.nourishcare.co.uk/four-seasons+bishopsmead-lodge#,2021-07-16 07:18:58.4090000 +00:00,2023-07-19 09:19:10.3900000 +00:00,fourseasons-69,Beta,fourseasons
133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Henleigh Hall ",henleigh-hall,2,Four Seasons,https://fourseasons.nourishcare.co.uk/four-seasons+henleigh-hall#,2024-05-20 11:04:18.2960000 +00:00,2024-05-20 11:04:35.1540000 +00:00,fourseasons-133,Beta,fourseasons
166,NULL,NULL,NULL,NULL,Yorkshire & The Humber,NULL,NULL,NULL,NULL,Harrogate Lodge Care Home,harrogate-lodge-care-home,2,Four Seasons,https://fourseasons.nourishcare.co.uk/four-seasons+harrogate-lodge-care-home#,2024-06-07 14:43:52.2490000 +00:00,2024-06-07 14:43:52.2490000 +00:00,fourseasons-166,Beta,fourseasons
67,NULL,NULL,NULL,NULL,Lanarkshire,Cumbernauld Glasgow,G68 0GA,NULL,NULL,ZZ - Carrickstone House,zz-carrickstone-house,2,Four Seasons,https://fourseasons.nourishcare.co.uk/four-seasons+zz-carrickstone-house#,2021-07-12 20:28:56.4890000 +00:00,2024-05-21 18:26:58.8970000 +00:00,fourseasons-67,Beta,fourseasons
3,care_home,NULL,NULL,NULL,NULL,NULL,x,NULL,NULL,Sandbox Four Seasons,sandbox,2,Four Seasons,https://fourseasons.nourishcare.co.uk/four-seasons+sandbox#,2020-08-24 12:24:31.8160000 +00:00,2023-07-19 09:36:53.1750000 +00:00,fourseasons-3,Beta,fourseasons
68,NULL,NULL,NULL,NULL,NULL,London,SE28 8QA,NULL,NULL,ZZ - Marlborough Court,zz-marlborough-court,2,Four Seasons,https://fourseasons.nourishcare.co.uk/four-seasons+zz-marlborough-court#,2021-07-16 07:16:03.5420000 +00:00,2024-05-22 19:12:34.3620000 +00:00,fourseasons-68,Beta,fourseasons
203,NULL,NULL,NULL,80,Xin Zhao - Central,Swindon,SN5 0AD,NULL,NULL,White Lodge Care Home,white-lodge-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+white-lodge-care-home#,2023-11-28 16:04:41.3940000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-203,Prod1,barch
339,NULL,NULL,NULL,54,Kelly Tatton - North West,Tarporley,CW6 0EG,NULL,NULL,Beeston View Care Community,beeston-view-care-community,4,Barchester,https://barchester.nourishcare.com/barchester+beeston-view-care-community#,2024-02-26 16:29:41.5760000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-339,Prod1,barch
386,NULL,NULL,NULL,60,Dannie Tsoneva - North East,Northallerton,DL7 9AU,NULL,NULL,Leeming Bar Grange Care Home,leeming-bar-grange-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+leeming-bar-grange-care-home#,2024-03-27 19:16:12.9680000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-386,Prod1,barch
410,NULL,NULL,NULL,61,Jo Fitzgerald - South,Wokingham,RG41 2TA,NULL,NULL,West Oak Care Home,west-oak-care-home,4,Barchester,https://barchester.nourishcare.com/barchester+west-oak-care-home#,2024-03-27 19:16:22.9900000 +00:00,2024-10-21 13:41:46.1090000 +00:00,barch-410,Prod1,barch
