__id__,__tags_type__,__tags_tags_applied_at__,__tags_tags_id__,__tags_tags_name__,__tags_tags_type__,__tags_tags_applied_by_id__,__tags_tags_applied_by_type__,__tags_tags__
20676600003372,tag.list,1600688603,2158368,Browser related – Microsoft Edge,tag,3543040,admin,NULL
20676600135795,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600215506,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600382625,tag.list,1661416275,7231758,add staff,tag,5550784,admin,NULL
25199283173,tag.list,1577699388,2158656,Request - Multi Org Login,tag,3061887,admin,NULL
20676601358698,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601460423,tag.list,1720009711,9578413,Authorised To Request Resident Transfers,tag,762290,admin,NULL
20676600191808,tag.list,1640763686,4061722,Feature/Product Confusion - Uploading Profile Photo / Picture,tag,3747084,admin,NULL
20676600200132,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600448805,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19527047092,tag.list,1542124247,2172446,Feature/Product Confusion - Creating New Carer/Resident,tag,424810,admin,NULL
20676600177016,tag.list,1638285752,6067661,serverdown301121,tag,3747084,admin,NULL
20676600177016,tag.list,1638285752,6067661,serverdown301121,tag,4412924,admin,NULL
20676600899879,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601303470,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600000118,tag.list,1592570423,4163009,Request New Feature - RESTORE2 and NEWS2,tag,424810,admin,NULL
20676600454842,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600519528,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600776893,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601198278,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601411649,tag.list,1718790250,7836200,NEW USER WITHIN 60 DAYS,tag,762290,admin,NULL
20676601471862,tag.list,1721135670,7836199,NEW USER WITHIN 30 DAYS,tag,762290,admin,NULL
20676601471862,tag.list,1721135670,7836200,NEW USER WITHIN 60 DAYS,tag,762290,admin,NULL
20676601471862,tag.list,1721135671,9578413,Authorised To Request Resident Transfers,tag,762290,admin,NULL
24717402968,tag.list,1574771121,2158656,Request - Multi Org Login,tag,424810,admin,NULL
19780155360,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600002465,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600026574,tag.list,1610105685,2158412,Feature/product confusion - Critical Info/Resident Dashboard,tag,424810,admin,NULL
20676600238668,tag.list,1649671885,2172446,Feature/Product Confusion - Creating New Carer/Resident,tag,5185998,admin,NULL
20676600378735,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600713132,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601020462,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601291525,tag.list,1711987838,2158656,Request - Multi Org Login,tag,762290,admin,NULL
20676600929038,tag.list,1693380852,8379363,Device - Purchase,tag,4412924,admin,NULL
20676601097355,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601196190,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600002418,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600064787,tag.list,1619010986,3546110,CIC - General Query,tag,762290,admin,NULL
20676600145797,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600947188,tag.list,1694631350,7836200,NEW USER WITHIN 60 DAYS,tag,762290,admin,NULL
20676601350138,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15085864098,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601456031,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676600011344,tag.list,1606739716,2162921,Reporting - How to create reports,tag,3543040,admin,NULL
20676600177319,tag.list,1638287660,6067661,serverdown301121,tag,3747084,admin,NULL
20676600315166,tag.list,1656076812,5859886,NEW USER WITHIN 7 DAYS,tag,762290,admin,NULL
20676600315166,tag.list,1656310679,4155670,Request New Feature - Ability to Spin Profile Pics as well as Scale,tag,4460916,admin,NULL
20676600388441,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601204649,tag.list,1709120978,7836200,NEW USER WITHIN 60 DAYS,tag,762290,admin,NULL
20676601234896,tag.list,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20676601356838,tag.list,1714729807,7836200,NEW USER WITHIN 60 DAYS,tag,762290,admin,NULL
20676601356838,tag.list,1714729807,8743420,CarePlanner [Plug-In],tag,762290,admin,NULL
20876408826,tag.list,1550508579,2394042,Feature/Product confusion - Care Plan on Handheld,tag,424810,admin,NULL
21539144508,tag.list,1554735926,2158656,Request - Multi Org Login,tag,3061887,admin,NULL
26512111445,tag.list,1586165384,3435909,Feature/Product confusion Release 25/11/19 Device Mngt &amp; Import CP Template,tag,3061887,admin,NULL
