__id__,__topics_total_count__,__topics_type__,__topics_topics_id__,__topics_topics_name__,__topics_topics_type__,__topics_topics__
20676600958288,2,topic.list,65753,Report,topic,NULL
20676600958288,2,topic.list,65766,"Device, Management",topic,NULL
20676600001120,0,topic.list,NULL,NULL,NULL,NULL
20676600141703,1,topic.list,65766,"Device, Management",topic,NULL
20676601478748,2,topic.list,65761,"Interaction, Interactions",topic,NULL
27153036757,1,topic.list,65763,"Integrations, Extensions",topic,NULL
20676600195067,1,topic.list,65754,"Status, change",topic,NULL
20676600521944,1,topic.list,65766,"Device, Management",topic,NULL
20676600902923,2,topic.list,1107,Scheduling,topic,NULL
20676600902923,2,topic.list,65754,"Status, change",topic,NULL
20676600958444,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676601381055,2,topic.list,65766,"Device, Management",topic,NULL
20676601381055,2,topic.list,67502,"Body map, wound, skin integrity, wound management",topic,NULL
20676601617798,0,topic.list,NULL,NULL,NULL,NULL
20676600133868,0,topic.list,NULL,NULL,NULL,NULL
20676600438774,0,topic.list,NULL,NULL,NULL,NULL
20676600696645,0,topic.list,NULL,NULL,NULL,NULL
20676600852004,0,topic.list,NULL,NULL,NULL,NULL
20676600904910,0,topic.list,NULL,NULL,NULL,NULL
20676600954786,1,topic.list,65757,Circle of Care,topic,NULL
20676600959283,0,topic.list,NULL,NULL,NULL,NULL
20676601654931,0,topic.list,NULL,NULL,NULL,NULL
20676600208014,2,topic.list,65753,Report,topic,NULL
20676600208014,2,topic.list,65770,staff,topic,NULL
20676600279873,2,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600279873,2,topic.list,65770,staff,topic,NULL
20676600377949,1,topic.list,65766,"Device, Management",topic,NULL
20676600398405,2,topic.list,12942,password,topic,NULL
20676600398405,2,topic.list,65766,"Device, Management",topic,NULL
20676600663842,0,topic.list,NULL,NULL,NULL,NULL
20676600944375,0,topic.list,NULL,NULL,NULL,NULL
20676600951384,1,topic.list,65770,staff,topic,NULL
20676600971640,1,topic.list,65756,Critical Information,topic,NULL
20676601084829,1,topic.list,65754,"Status, change",topic,NULL
20676601347190,0,topic.list,NULL,NULL,NULL,NULL
20676601655234,0,topic.list,NULL,NULL,NULL,NULL
20676601658520,1,topic.list,65761,"Interaction, Interactions",topic,NULL
25584907689,2,topic.list,65754,"Status, change",topic,NULL
25584907689,2,topic.list,65766,"Device, Management",topic,NULL
20676600106371,0,topic.list,NULL,NULL,NULL,NULL
20676600203172,1,topic.list,67502,"Body map, wound, skin integrity, wound management",topic,NULL
20676600340025,4,topic.list,1107,Scheduling,topic,NULL
20676600340025,4,topic.list,65755,"Assessments, Assessment",topic,NULL
20676600340025,4,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600340025,4,topic.list,65768,care type,topic,NULL
20676601362166,0,topic.list,NULL,NULL,NULL,NULL
20676600428272,0,topic.list,NULL,NULL,NULL,NULL
20676600769767,0,topic.list,NULL,NULL,NULL,NULL
20676600945523,1,topic.list,65758,Bug,topic,NULL
20676601303424,0,topic.list,NULL,NULL,NULL,NULL
20676601456658,0,topic.list,NULL,NULL,NULL,NULL
18372603554,0,topic.list,NULL,NULL,NULL,NULL
20676600340098,1,topic.list,65755,"Assessments, Assessment",topic,NULL
20676600591593,0,topic.list,NULL,NULL,NULL,NULL
20676600608718,1,topic.list,65770,staff,topic,NULL
20676600822079,0,topic.list,NULL,NULL,NULL,NULL
20676600843510,0,topic.list,NULL,NULL,NULL,NULL
20676601409835,0,topic.list,NULL,NULL,NULL,NULL
23049168852,2,topic.list,65753,Report,topic,NULL
23049168852,2,topic.list,65766,"Device, Management",topic,NULL
20676600099381,1,topic.list,65753,Report,topic,NULL
20676600132392,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600232495,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600772950,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600279764,1,topic.list,65753,Report,topic,NULL
20676600283341,1,topic.list,65755,"Assessments, Assessment",topic,NULL
20676600465606,1,topic.list,65766,"Device, Management",topic,NULL
20676600774102,0,topic.list,NULL,NULL,NULL,NULL
20676600961212,0,topic.list,NULL,NULL,NULL,NULL
20676600962365,1,topic.list,65766,"Device, Management",topic,NULL
20676601090384,1,topic.list,65754,"Status, change",topic,NULL
20676601241533,0,topic.list,NULL,NULL,NULL,NULL
20676601380661,0,topic.list,NULL,NULL,NULL,NULL
17913628895,0,topic.list,NULL,NULL,NULL,NULL
20676600026678,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600175991,0,topic.list,NULL,NULL,NULL,NULL
20676600177773,2,topic.list,65753,Report,topic,NULL
20676600177773,2,topic.list,65761,"Interaction, Interactions",topic,NULL
21734817221,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676601213049,0,topic.list,NULL,NULL,NULL,NULL
20676601164712,1,topic.list,65761,"Interaction, Interactions",topic,NULL
24008743797,3,topic.list,65754,"Status, change",topic,NULL
20676600596439,2,topic.list,65763,"Integrations, Extensions",topic,NULL
20676600596439,2,topic.list,68352,Community,topic,NULL
20676600645094,2,topic.list,65754,"Status, change",topic,NULL
20676600645094,2,topic.list,65761,"Interaction, Interactions",topic,NULL
20676601340748,0,topic.list,NULL,NULL,NULL,NULL
20676601386658,2,topic.list,65755,"Assessments, Assessment",topic,NULL
20676601386658,2,topic.list,67502,"Body map, wound, skin integrity, wound management",topic,NULL
20676601651180,2,topic.list,1107,Scheduling,topic,NULL
20676601651180,2,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600245769,0,topic.list,NULL,NULL,NULL,NULL
20676600486658,0,topic.list,NULL,NULL,NULL,NULL
20676600905712,0,topic.list,NULL,NULL,NULL,NULL
20676601571926,2,topic.list,65755,"Assessments, Assessment",topic,NULL
20676601571926,2,topic.list,65756,Critical Information,topic,NULL
20676600341632,0,topic.list,NULL,NULL,NULL,NULL
20676600814756,0,topic.list,NULL,NULL,NULL,NULL
20676600962924,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676601216463,1,topic.list,65766,"Device, Management",topic,NULL
26553410016,2,topic.list,65754,"Status, change",topic,NULL
26553410016,2,topic.list,65755,"Assessments, Assessment",topic,NULL
20676600089865,0,topic.list,NULL,NULL,NULL,NULL
20676600225518,1,topic.list,65754,"Status, change",topic,NULL
20676600235465,0,topic.list,NULL,NULL,NULL,NULL
20676600266547,0,topic.list,NULL,NULL,NULL,NULL
20676600766773,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600875892,0,topic.list,NULL,NULL,NULL,NULL
20676600887072,0,topic.list,NULL,NULL,NULL,NULL
20676600974583,1,topic.list,65753,Report,topic,NULL
20676601235267,0,topic.list,NULL,NULL,NULL,NULL
20676601240641,0,topic.list,NULL,NULL,NULL,NULL
26973690054,0,topic.list,NULL,NULL,NULL,NULL
20676601093290,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676601093607,0,topic.list,NULL,NULL,NULL,NULL
20676601202964,1,topic.list,65754,"Status, change",topic,NULL
20676601468994,0,topic.list,NULL,NULL,NULL,NULL
20277817814,0,topic.list,NULL,NULL,NULL,NULL
20676600315155,3,topic.list,65755,"Assessments, Assessment",topic,NULL
20676600315155,3,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600315155,3,topic.list,65762,Organisation Interactions,topic,NULL
20676600773835,1,topic.list,65766,"Device, Management",topic,NULL
20676600939715,0,topic.list,NULL,NULL,NULL,NULL
20676600064681,0,topic.list,NULL,NULL,NULL,NULL
20676600080137,2,topic.list,65754,"Status, change",topic,NULL
20676600080137,2,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600104371,2,topic.list,65765,Permissions,topic,NULL
20676600104371,2,topic.list,65767,Roles,topic,NULL
20676600186862,2,topic.list,12942,password,topic,NULL
20676600186862,2,topic.list,65769,"family portal, portal",topic,NULL
20676600622813,0,topic.list,NULL,NULL,NULL,NULL
20676600962905,0,topic.list,NULL,NULL,NULL,NULL
20676600983814,0,topic.list,NULL,NULL,NULL,NULL
20676601022687,1,topic.list,65754,"Status, change",topic,NULL
20676601264973,1,topic.list,65766,"Device, Management",topic,NULL
20676601355832,0,topic.list,NULL,NULL,NULL,NULL
20676601456999,0,topic.list,NULL,NULL,NULL,NULL
20676601459204,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600235401,0,topic.list,NULL,NULL,NULL,NULL
20676600642704,2,topic.list,65766,"Device, Management",topic,NULL
20676600642704,2,topic.list,65774,"Mobile, mobile, handset",topic,NULL
20676600820409,1,topic.list,65769,"family portal, portal",topic,NULL
20676601085131,0,topic.list,NULL,NULL,NULL,NULL
20676601407671,0,topic.list,NULL,NULL,NULL,NULL
22326566125,1,topic.list,65754,"Status, change",topic,NULL
24209571335,1,topic.list,65772,"action, actions",topic,NULL
20676600004866,0,topic.list,NULL,NULL,NULL,NULL
20676600223245,2,topic.list,65753,Report,topic,NULL
20676600223245,2,topic.list,65755,"Assessments, Assessment",topic,NULL
20676600410595,0,topic.list,NULL,NULL,NULL,NULL
20676600450023,2,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600450023,2,topic.list,65762,Organisation Interactions,topic,NULL
20676600599871,0,topic.list,NULL,NULL,NULL,NULL
20676600614964,3,topic.list,65754,"Status, change",topic,NULL
20676600614964,3,topic.list,65766,"Device, Management",topic,NULL
20676600614964,3,topic.list,65770,staff,topic,NULL
20676600967851,0,topic.list,NULL,NULL,NULL,NULL
20676601613632,0,topic.list,NULL,NULL,NULL,NULL
24778168002,0,topic.list,NULL,NULL,NULL,NULL
14141156001,1,topic.list,65754,"Status, change",topic,NULL
20676601282474,1,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600281879,0,topic.list,NULL,NULL,NULL,NULL
20676600000293,2,topic.list,65755,"Assessments, Assessment",topic,NULL
20676600102430,3,topic.list,65761,"Interaction, Interactions",topic,NULL
20676600102430,3,topic.list,65762,Organisation Interactions,topic,NULL
20676600327778,2,topic.list,65754,"Status, change",topic,NULL
20676600327778,2,topic.list,65770,staff,topic,NULL
20676600412256,0,topic.list,NULL,NULL,NULL,NULL
20676600476401,1,topic.list,65753,Report,topic,NULL
20676601029297,0,topic.list,NULL,NULL,NULL,NULL
20676601460822,2,topic.list,65755,"Assessments, Assessment",topic,NULL
20676601460822,2,topic.list,67502,"Body map, wound, skin integrity, wound management",topic,NULL
20676601463221,0,topic.list,NULL,NULL,NULL,NULL
22680046949,4,topic.list,65754,"Status, change",topic,NULL
22680046949,4,topic.list,65765,Permissions,topic,NULL
22680046949,4,topic.list,65766,"Device, Management",topic,NULL
22680046949,4,topic.list,65770,staff,topic,NULL
25930996312,0,topic.list,NULL,NULL,NULL,NULL
20676600385013,1,topic.list,65754,"Status, change",topic,NULL
20676601096278,0,topic.list,NULL,NULL,NULL,NULL
20676601330493,1,topic.list,65761,"Interaction, Interactions",topic,NULL
22896835120,3,topic.list,65754,"Status, change",topic,NULL
22896835120,3,topic.list,65762,Organisation Interactions,topic,NULL
22896835120,3,topic.list,65766,"Device, Management",topic,NULL
20676600003598,2,topic.list,12942,password,topic,NULL
