__id__,__ai_agent_last_answer_type__,__ai_agent_rating__,__ai_agent_rating_remark__,__ai_agent_resolution_state__,__ai_agent_source_title__,__ai_agent_source_type__,__ai_agent_content_sources_total_count__,__ai_agent_content_sources_type__,__ai_agent_content_sources_content_sources_content_type__,__ai_agent_content_sources_content_sources_locale__,__ai_agent_content_sources_content_sources_title__,__ai_agent_content_sources_content_sources_url__,__ai_agent_content_sources_content_sources__
207403600603673,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Common issues that relate to Wifi in the organisation (app),/fin-ai-agent/content?content=article&id=287316,NULL
207403600601499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600615861,ai_answer,NULL,NULL,abandoned,Fin AI Test,workflow,7,content_source.list,article,en,Mental Capacity Assessment and Best Interest Decision Interaction,/fin-ai-agent/content?content=article&id=287162,NULL
207403600599192,custom_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,custom_answer,en,Pending Data on the App,/fin-ai-agent/custom-answers/12607,NULL
207403600545802,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,content_snippet,en,Why are some of our services not showing on the dashboard?,/fin-ai-agent/content?content=content_snippet&id=76243,NULL
207403600602517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600599050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600615630,custom_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,4,content_source.list,article,en,Getting started on Nourish: A set-up guide for Superusers,/fin-ai-agent/content?content=article&id=286983,NULL
207403600616704,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600599708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600597694,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Care Instructions (Document accessibility),/fin-ai-agent/content?content=article&id=287249,NULL
207403600244306,NULL,NULL,NULL,NULL,Triage issues and assign to different teams,workflow,0,content_source.list,NULL,NULL,NULL,NULL,NULL
207403600610583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600611632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600614628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600616380,ai_answer,NULL,NULL,assumed_resolution,Default answer (new),workflow,5,content_source.list,article,en,ContrOCC Report Guide – East Sussex County Council,/fin-ai-agent/content?content=article&id=223995,NULL
207403600600079,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,Device Management,/fin-ai-agent/content?content=article&id=287238,NULL
207403600323810,NULL,NULL,NULL,NULL,NEW Front End - Welcome to Nourish Customer Support,workflow,0,content_source.list,NULL,NULL,NULL,NULL,NULL
207403600604359,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,Xero Export Report,/fin-ai-agent/content?content=article&id=221923,NULL
207403600592154,ai_answer,NULL,NULL,routed_to_team,Default answer (new),workflow,2,content_source.list,article,en,Getting Started with Nourish Community,/fin-ai-agent/content?content=article&id=287194,NULL
207403600610399,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,How do I handover Information?,/fin-ai-agent/content?content=article&id=287195,NULL
207403600614519,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600588239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606757,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,Data Retention Report,/fin-ai-agent/content?content=article&id=287391,NULL
207403600604791,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,2,content_source.list,article,en,How to manage 'status' for people supported?,/fin-ai-agent/content?content=article&id=287173,NULL
207403600606406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600591711,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600574721,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600606981,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600600953,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,Skin Integrity & Wound Management,/fin-ai-agent/content?content=article&id=287193,NULL
207403600368864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600594977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600605973,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600612077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600569258,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,How to manage 'status' for people supported?,/fin-ai-agent/content?content=article&id=287173,NULL
207403600569258,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,Admission Pathway,/fin-ai-agent/content?content=article&id=287201,NULL
207403600569258,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,3,content_source.list,article,en,How do Assessments Work?,/fin-ai-agent/content?content=article&id=287277,NULL
207403600610550,ai_answer,NULL,NULL,routed_to_team,Fin AI Test,workflow,1,content_source.list,article,en,How to Save an interaction for Later,/fin-ai-agent/content?content=article&id=287266,NULL
207403600604547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207403600601738,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
